SLOT_CREW_MOD|Комплекты жилых модулей
HUD_CREW_QUALITY|Качество жилого модуля

SYSTEM_CREW_ADD_BUNK|Койка Conlido X1

SYSTEM_CREW_ADD_BUNK_DESC|Самый простой и недорогой комплект для расширения жилых помещений экипажа, доступный за деньги. Этот комплект включает в себя одну кровать смешанного типа с креплением на поверхность, выполненную из пены с эффектом памяти, с простыми текстильными чехлами и огнестойкой изоляцией. Они на удивление удобны, но отсутствие отдельных кают наверняка станет предметом споров между членами экипажа. \n\nДиспетчерская служба напоминает капитанам, что правила требуют выделение как минимум утроенной нормы пайков на каждого члена экипажа на протяжении всего запланированного времени экспедиции в кольца. Невыполнение этого требования может повлечь за собой штрафы от соответствующих регулирующих органов.

SYSTEM_CREW_ADD_BUNK_SPECS|Вместимость экипажа: +1 \nПодрыв морального духа экипажа в день: +30% (очень плохо) \nМасса: 250 кг \nВместимость на одного члена экипажа: 15 кг \nПроизводитель: Conlido RVM

SYSTEM_CREW_ADD_BUNK2|Conlido bunkX2

SYSTEM_CREW_ADD_BUNK2_DESC|Ещё одна такая же коробка! BunkX2 — это, по сути, две bunkX1, поставляемые в гораздо более эффективной конфигурации, но на этом их преимущества заканчиваются. \n\nБольшинство потенциальных кандидатов отвернулись бы, увидев одну такую ​​на судне, не говоря уже о двух. Тем не менее, они, безусловно, являются вариантом для увеличения вместимости экипажа и часто используются в больших количествах на небольших межлунных транзитных судах, где вместительность и прибыль важнее комфорта пассажиров.

SYSTEM_CREW_ADD_BUNK2_SPECS|Вместимость экипажа: +2 \nПодрыв морального духа экипажа в день: +40% (очень плохо) \nМасса: 500 кг \nМасса на одного члена экипажа: 35 кг \nПроизводитель: Conlido RVM

SYSTEM_CREW_ADD_CAPSULE|Жилые капсулы Runasimi

SYSTEM_CREW_ADD_CAPSULE_DESC|Вариант Runasimi на рынке жилых помещений для экипажа стал своего рода стандартом на рынке бюджетных гостиничных услуг. Он состоит из лёгкого герметичного блока с двумя внутренними капсульными кроватями, простым туалетом и местом для хранения вещей и провизии экипажа. Внутренний кислородный резервуар и стойки для скафандров гарантируют, что пробоины в корпусе не приведут к мгновенной потере трудоспособности экипажа в нерабочее время. \n\nСкафандры продаются отдельно. Регулярно проверяйте давление в резервуаре и проводите проверку герметичности, как указано в руководстве, не реже одного раза в неделю. Runasimi Inc. не несет ответственности за ущерб, причиненный ненадлежащим обслуживанием оборудования.

SYSTEM_CREW_ADD_CAPSULE_SPECS|Вместимость экипажа: +2 \nСнижение морального духа экипажа в день: +25% (плохо) \nМасса: 1000 кг \nМасса на одного члена экипажа: 60 ​​кг \nПроизводитель: Runasimi Inc.

SYSTEM_CREW_ADD_MANUAL|Увеличивает или уменьшает общую вместимость экипажа. \nУвеличивает или уменьшает снижение морального духа экипажа в день. \nНедовольство экипажа может привести к понжению качества работы. \nНе требует электроэнергии или нагрева реактора.

SYSTEM_CREW_MOD_HOME|Комплект mgHome от Conlido

SYSTEM_CREW_MOD_HOME_DESC|MGHome от Conlido — это простой модульный комплект, предназначенный для семейных судов и лёгких транспортных судов. Он включает в себя общую многоканальную развлекательную систему для кают экипажа, холодильник и улучшенный кухонный блок для камбуза, а также ряд дополнительных функций для туалетной комнаты, таких как многорежимная душевая лейка и унитаз с эффектом памяти. \n\nПримечание: распылитель для душа не подходит для использования в условиях невесомости. Для достижения наилучших результатов не мойте поверхности или подушки чистящими средствами на основе отбеливателя.

SYSTEM_CREW_MOD_HOME_SPECS|Снижение морального духа экипажа в день: -10% (хорошо) \nМасса: 200 кг \nМасса на одного члена экипажа: 75 кг \nПроизводитель: Conlido RVM

SYSTEM_CREW_MOD_KMX|Antonoff KMX Upfit

SYSTEM_CREW_MOD_KMX_DESC|Antonoff KMX позиционируется как система повышения комфорта при длительных перелетах, предназначенная для экипажей межлунных грузовых и пассажирских судов. \n\nБлагодаря полной системе очистки воды, ряду усовершенствований камбуза, туалета и палубы для отдыха (и модернизации для их внедрения на большинстве распространенных типов корпусов, если таковые отсутствуют), а также дышащей обивке большинства стандартных сидений, экипажи обычно считают полеты с KMX предпочтительнее, чем без него.

SYSTEM_CREW_MOD_KMX_SPECS|Вместимость экипажа: -1 \nСнижение морального духа экипажа в день: -20% (хорошо) \nМасса: 500 кг \nМасса на одного члена экипажа: 150 кг \nПроизводитель: Antonoff

SYSTEM_CREW_MOD_OCM|Модернизация OCM-36

SYSTEM_CREW_MOD_OCM_DESC|OCM-36 от Obonto Microengineering полностью обновляет обитаемые пространства корабля, добавляя современные удобства, которые покажутся очень знакомыми тем, кто посещал или жил на их станциях. Эта покупка покрывает полную стоимость работ реноваторов Obonto (или других лицензированных специалистов), включая использование системы искусственного интеллекта Nakamura Dynamics Class 2 для оптимизации с учетом изменяющейся внутренней геометрии. \n\nЕсли вам недостаточно отдельных кают экипажа с регулируемыми кроватями, независимыми системами развлечений и собственными ванными комнатами, всегда есть полноценная мини-кухня Yamato в камбузе, разнообразная и просторная зона отдыха и современный, элегантный кокпит, не говоря уже о приятной облицовке стен и низкопрофильных поручнях для навигации в невесомости.

SYSTEM_CREW_MOD_OCM_SPECS|Вместимость экипажа: -2 \nПодрыв морального духа экипажа в день: -50% (отлично) \nМасса: 700 кг \nМасса на одного члена экипажа: 200 кг \nПроизводитель: Obonto Microengineering

SYSTEM_CREW_MOD_MANUAL|Увеличивает или уменьшает снижение морального духа экипажа за день эксплуатации. \nНедовольство экипажа может привести к понжению качества работы. \nНе требует электроэнергии или нагрева реактора.
